bengali,english
Halim,হালিম
Hamid,হামিদ
Hamjah,হামযাহ
Hannan,হান্নান
Hisam,হিশাম
Hossain,হোসাইন
Hujaifa,হুযাইফা
Humdan,হামদান
Humdan,হামদান
Hummad,হাম্মাদ
Husham,হুসাম
Ismail,ইসমাঈল
Jafor,জাফর
Jahid,জাহীদ
Jaki,যাকী
Jamal,জামাল
Jubair,যুবাইর
Labib,লাবীব
Liakot,লিয়াকত
Lokman,লোকমান
Mahbub,মাহবুব
Mahfuj,মাহফ্রুজ
Mahmud,মাহমুদ
Mahtab,মাহতাব
Mahtab,মাহতাব
Mamun,মামুন
Masum,মাসুম
Masum,মাসুম
Mazid,মাযীদ
Momin,মুমিন
Morshed,মোরশেদ
Mubarok,মুবারক
Mubassir,মুবাশশির
Muin,মূঈন
Mujahid,মুজাহিদ
Mujtaba,মুজতবা
Munem,মুনেম
Munib,মুনীব
Murad,মুরাদ
Murtaha,মুরতাহ
Mustafiz,মুস্তাফিজুর
Mustafiz,মুস্তাফিজ
Mustaq,মুশতাক
Rafat,রাফাত
Rafiq,রফিক
Rahat,রাহাত
Rahim,রাহীম
Rahman,রাহমান
Rahman,রহমান
Raian,রাইয়্যান
Raihan,রায়হান
Rajen,রাযীন
Raqib,রাকিব
Rashid,রাশীদ
Rofiq,রফিক
Sabah,সাবাহ
Sabet,সাবেত
Sadik,সাদিক
Sadman,শাদমান
Safwan,সাফওয়ান
Sahed,শাহেদ
Saiful,সাইফুল
Sakib,সাকীব
Sakib,শাকিব
Sakif,সাকীফ
Sakil,শাকীল
Sakil,শাকিল
Salah,সালাহ
Salam,সালাম
Saleh,সালেহ
Salik,সালিক
Samih,সামিহ
Samim,শামীম
Samim,শামীম
Shaker,শাকের
Sofiq,শফিক
Sofwa,সফওয়াত
Soiad,সৈয়দ
Suhaib,সুহাইব
Taslim,তাসলিম
