bengali,english_0,english_1,english_2
আমি,ami,amee,ame
তুমি,tumi,tmi,tme
সে,she,se,
আপনি,apni,apne,apnee
তারা,tara,,
যারা,jara,zara,
ওরা,ora,,
এরা,era,,
ওটি,oti,,
এটি,eti,,
সেটি,sheti,seti,
বাংলাদেশ,bangladesh,banglades,
ভারত,varot,bharot,
পাকিস্তান,pakistan,,
প্লেয়ার,player,pleyar,plear
ক্রিকেট,cricket,kriket,
ও,o,,
এ,e,a,
করে,kore,,
না,na,,
থেকে,theke,thk,
করা,kora,,
হয়,hoy,,
হয়েছে,hoyeche,,
বলেন,bolen,,
এই,ei,,
হবে,hobe,,
জন্য,jonno,,
তিনি,tini,,
সঙ্গে,shonge,,
এক,ek,,
একটি,ekti,,
নিয়ে,niye,,
এবং,ebong,,
করেন,koren,,
তাঁর,tar,,
করতে,korte,,
কোনো,keno,,
গতকাল,gotokal,,
হয়ে,hoye,,
এর,er,,
মধ্যে,moddhe,,
সময়,shomoy,,
আর,ar,,
কথা,kotha,,
পর,por,,
বলে,bole,,
দেওয়া,deoya,,
তবে,tobe,,
ওই,oi,,
গত,goto,,
দিয়ে,diye,,
কিন্তু,kintu,,
জানান,janan,,
প্রথম,prothom,,
দুই,dui,,
ছিল,chilo,,
হাজার,hajar,,
যায়,jay,,
তা,ta,,
যে,je,,
গেছে,geche,,
করার,korar,,
টাকা,taka,,
তাঁদের,tader,,
হচ্ছে,hocche,,
করেছে,koreche,,
টি,ti,,
করেছেন,korechen,,
কাজ,kaj,,
পুলিশ,police,,
পারে,pare,,
বা,ba,,
আরও,aro,,
বিভিন্ন,bivinno,,
রয়েছে,royeche,,
সব,shob,,
আছে,ache,,
আমার,amar,,
হিসেবে,hishebe,,
আমরা,amra,,
দিন,din,,
শুরু,shuru,,
আজ,aj,,
বছর,bochor,,
তাঁরা,tara,,
অনেক,onek,,
পর্যন্ত,porjonto,,
আমাদের,amader,,
কাছে,kache,,
নেই,nei,,
আগে,age,,
তার,tar,,
নয়,noy,,
কিছু,kichu,,
এখন,ekhon,,
বেশি,beshi,,
জন,jon,,
সরকার,shorkar,,
দলের,doler,,
তিন,tini,,
দেখা,dekha,,
ছাড়া,chara,,
শেষ,shesh,,
ঢাকা,dhaka,,
নতুন,notun,,
দেন,den,,
দিকে,dike,,
ওপর,opor,,
মে,may,,
ইসলাম,islam,,
উপজেলার,upzillar,,
দেশের,desher,,
অভিযোগ,ovijog,obhijog,
তাঁকে,take,takey,
প্রধান,prodhan,,
কারণে,karone,,
হতে,hote,,
বড়,boro,,
মনে,mone,,
সেই,sei,,
তাদের,tader,,
মতো,moto,,
এসব,eshob,,
ছিলেন,chilen,,
বিরুদ্ধে,biruddhe,,
কর্মকর্তা,kormokorta,,
সরকারের,shorkarer,,
মো,mo,,
রহমান,rahman,,
প্রায়,pray,,
জেলা,zilla,,
লাখ,lakh,,
হলে,hole,,
এলাকায়,elakay,,
বলা,bola,,
দাবি,dabi,,
দিতে,dite,,
হলো,holo,,
নেতা,neta,,
তৈরি,toiri,,
হোসেন,hossain,,
সালে,shale,,
দল,dol,,
বিএনপির,bnpr,,
বিষয়ে,bishoye,,
এতে,ete,,
জানা,jana,,
পাওয়া,paoya,,
ধরনের,dhoroner,,
নেওয়া,neoya,,
ধরে,dhore,,
ভালো,bhalo,,
কী,ki,,
বাংলাদেশের,bangladesher,,
পরে,pore,,
তাই,tai,,
দুটি,duti,,
জাতীয়,jatiyo,,
উপজেলা,upzilla,,
হওয়ার,howar,,
দেওয়ার,deowar,,
নাম,nam,,
কি,ki,,
একটা,ekta,,
সভাপতি,shovapoti,shobhapoti,
সাধারণ,shadharon,sadharon,
পড়ে,pore,,
একজন,ekjon,,
মাধ্যমে,maddhome,,
অংশ,ongsho,,
বন্ধ,bondho,,
খ,kho,,
গ্রামের,gramer,,
ক,ko,,
রাজনৈতিক,rajnoitik,,
মানুষ,manush,,
স্থানীয়,sthaniyo,,
হয়নি,hoyni,,
নির্বাচন,nirbachon,,
তো,to,,
বছরের,bochorer,,
প্রতি,proti,,
কোটি,koti,,
যাবে,zabe,,
গিয়ে,giye,,
এমন,emon,,
ব্যাপারে,byapare,,
ঘ,gho,,
ঘোষণা,ghoshona,,
চার,chara,,
করছেন,korechen,,
করছে,koreche,,
তথ্য,tottho,,
একই,ekoi,,
দেশে,deshe,,
ক্ষেত্রে,khetre,,
সরকারি,shorkari,,
কারণ,karon,,
সালের,shaler,,
দিয়েছেন,diyechen,,
এম,em,,
আগামী,agamai,,
ঘটনা,ghotona,,
যান,zan,,
